Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
171.500000	-70.500000	141.34045
172.500000	-70.500000	123.59347
173.500000	-70.500000	115.50320
-185.500000	-70.500000	110.87885
-184.500000	-70.500000	98.27888
-183.500000	-70.500000	89.10900
-182.500000	-70.500000	78.93993
-181.500000	-70.500000	74.24988
-180.500000	-70.500000	65.47966
-179.500000	-70.500000	60.29760
-178.500000	-70.500000	53.45292
-177.500000	-70.500000	49.35002
-176.500000	-70.500000	51.74894
-175.500000	-70.500000	51.76249
-174.500000	-70.500000	48.92082
-173.500000	-70.500000	50.62838
-172.500000	-70.500000	49.19326
-171.500000	-70.500000	53.32851
-170.500000	-70.500000	58.40595
-169.500000	-70.500000	71.59608
-168.500000	-70.500000	97.76617
-167.500000	-70.500000	112.54788
-166.500000	-70.500000	134.56225
-165.500000	-70.500000	158.12852
-164.500000	-70.500000	161.37445
-163.500000	-70.500000	160.39907
-162.500000	-70.500000	152.29469
-161.500000	-70.500000	140.57905
-160.500000	-70.500000	130.67116
-159.500000	-70.500000	124.75606
-158.500000	-70.500000	138.63232
-157.500000	-70.500000	102.77377
-156.500000	-70.500000	96.56717
-155.500000	-70.500000	76.82294
-154.500000	-70.500000	63.64626
-153.500000	-70.500000	57.20444
-152.500000	-70.500000	45.64262
-151.500000	-70.500000	34.03182
-150.500000	-70.500000	20.23747
-149.500000	-70.500000	13.25333
-148.500000	-70.500000	7.67053
-147.500000	-70.500000	7.28437
-146.500000	-70.500000	11.66073
-145.500000	-70.500000	17.84095
-144.500000	-70.500000	23.79254
-143.500000	-70.500000	31.39980
-142.500000	-70.500000	39.29146
-141.500000	-70.500000	50.47304
-140.500000	-70.500000	68.79748
-139.500000	-70.500000	86.83094
-138.500000	-70.500000	107.80357
-137.500000	-70.500000	118.18896
-136.500000	-70.500000	123.99227
-135.500000	-70.500000	120.82673
-134.500000	-70.500000	105.87411
-133.500000	-70.500000	87.28480
-132.500000	-70.500000	76.17789
-131.500000	-70.500000	52.20780
-130.500000	-70.500000	37.36370
